name,state_code,city,founded_at,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,category_code,status,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,months_to_first_funding,months_to_last_funding,label
Shareaholic,MA,Boston,2009-01-01,2009-09-01,2012-06-28,3,5455000,web,operating,0,1,0,0,0,0,0,0,0,0,8,41,Failure
Sharecare,GA,Atlanta,2009-11-02,2011-06-15,2013-09-26,3,14000000,health,operating,0,0,0,0,0,0,0,0,0,1,19,46,Success
Sharethrough,CA,San Francisco,2008-01-01,2007-04-01,2012-10-11,4,11000000,advertising,operating,0,0,0,0,1,0,0,0,0,0,9,57,Success
Sharetivity,CA,Palo Alto,2007-07-07,2006-05-01,2006-05-01,1,2000000,web,operating,0,1,0,0,0,0,0,0,0,0,14,14,Failure
Shaser,MA,Woburn,2004-01-01,2010-03-31,2010-03-31,1,2999999,biotech,operating,0,0,0,0,0,0,0,1,0,0,74,74,Failure
SheFinds Media,NY,New York,2004-02-01,2008-11-24,2008-11-24,1,1300000,web,operating,0,1,0,0,0,0,0,0,0,0,57,57,Failure
Shelby.tv,NY,New York,2011-01-10,2011-01-01,2012-07-31,4,3925000,games_video,operating,0,0,0,0,0,1,0,0,0,0,0,18,Failure
Shelfari,WA,Seattle,2006-01-01,2007-02-01,2007-02-01,1,1000000,web,acquired,0,1,0,0,0,0,0,0,0,0,13,13,Success
Sher.ly Inc.,CA,Palo Alto,2013-02-01,2012-11-15,2012-11-15,1,250000,software,operating,1,0,0,0,0,0,0,0,0,0,3,3,Failure
Sherpaa,NY,Brooklyn,2012-02-01,2012-08-20,2012-08-20,1,1800000,health,operating,0,0,0,0,0,0,0,0,0,1,6,6,Failure
ShiftPlanning,CA,San Francisco,2010-02-10,2011-09-02,2012-08-07,2,1050000,software,operating,1,0,0,0,0,0,0,0,0,0,19,30,Failure
Shipzi,UT,Orem,2011-08-01,2011-09-01,2012-10-01,2,285000,software,operating,1,0,0,0,0,0,0,0,0,0,1,14,Failure
Shocking Technologies,CA,San Jose,2006-01-01,2007-04-17,2012-05-21,6,55900000,hardware,closed,0,0,0,0,0,0,0,0,0,1,15,76,Failure
Shodogg,NY,New York,2011-05-01,2012-09-24,2013-03-27,3,3422000,mobile,operating,0,0,1,0,0,0,0,0,0,0,16,22,Failure
ShoeDazzle,CA,Santa Monica,2009-03-01,2009-11-19,2012-10-03,4,66000000,fashion,acquired,0,0,0,0,0,0,0,0,0,1,8,43,Success
Shoeboxed,NC,Durham,2007-05-01,2008-01-01,2012-07-31,3,2511360,web,operating,0,1,0,0,0,0,0,0,0,0,8,62,Failure
Shoefitr,PA,Pittsburgh,2010-01-01,2010-05-31,2011-10-28,2,1230000,software,operating,1,0,0,0,0,0,0,0,0,0,4,21,Failure
ShomoLive,NC,Charlotte,2010-01-01,2013-09-01,2013-09-01,1,150000,social,operating,0,0,0,0,0,0,0,0,0,1,44,44,Failure
Shooger,FL,Coral Gables,2009-01-01,2011-07-28,2011-07-28,1,5000000,advertising,operating,0,0,0,0,1,0,0,0,0,0,30,30,Failure
ShopAdvisor,MA,Concord,2011-01-21,2012-05-16,2013-08-16,2,6950000,advertising,operating,0,0,0,0,1,0,0,0,0,0,16,31,Failure
ShopIgniter,OR,Portland,2009-10-01,2010-03-03,2011-05-25,2,11000000,social,operating,0,0,0,0,0,0,0,0,0,1,5,19,Success
ShopInterest,CA,San Jose,2012-06-23,2012-07-30,2013-02-14,4,160000,web,operating,0,1,0,0,0,0,0,0,0,0,1,8,Failure
ShopKeep POS,NY,New York,2008-10-01,2012-01-17,2012-12-05,2,12200000,enterprise,operating,0,0,0,1,0,0,0,0,0,0,39,50,Success
ShopPad,CA,Oakland,2012-08-01,2013-08-28,2013-08-28,1,500000,ecommerce,operating,0,0,0,0,0,0,1,0,0,0,12,12,Failure
ShopRunner,PA,Conshohocken,2010-01-01,2013-08-19,2013-08-19,1,75000000,ecommerce,acquired,0,0,0,0,0,0,1,0,0,0,43,43,Success
ShopSavvy,CA,San Francsico,2008-01-01,2008-08-01,2011-11-02,4,11500000,mobile,operating,0,0,1,0,0,0,0,0,0,0,7,46,Success
"ShopSocial (is now ADITIVE, Inc.)",CA,"Mountain View,",2010-01-01,2011-01-13,2011-01-13,1,1200000,advertising,operating,0,0,0,0,1,0,0,0,0,0,12,12,Failure
ShopSocially,CA,Mountain View,2009-01-01,2010-10-21,2012-06-22,2,1650000,software,operating,1,0,0,0,0,0,0,0,0,0,21,41,Failure
ShopSquad/Ownza,CA,San Francisco,2011-02-24,2011-03-23,2011-03-23,1,1250000,ecommerce,operating,0,0,0,0,0,0,1,0,0,0,1,1,Failure
ShopWell,CA,Palo Alto,2008-01-01,2010-02-22,2012-12-20,5,7939553,web,acquired,0,1,0,0,0,0,0,0,0,0,25,59,Success
ShopWiki,NY,New York,2005-06-01,2006-07-01,2006-07-01,1,6250000,ecommerce,acquired,0,0,0,0,0,0,1,0,0,0,13,13,Success
Shopatron,CA,San Luis Obispo,2001-10-10,2007-10-01,2012-12-01,2,10000000,enterprise,operating,0,0,0,1,0,0,0,0,0,0,72,134,Success
Shopflick,CA,Los Angeles,2007-07-01,2008-03-15,2008-07-01,2,8000000,ecommerce,acquired,0,0,0,0,0,0,1,0,0,0,8,12,Success
Shopgate,CA,Palo Alto,2009-01-01,2013-06-06,2013-06-06,1,7000000,mobile,operating,0,0,1,0,0,0,0,0,0,0,53,53,Failure
Shopperception,NY,Bedford,2011-03-01,2012-07-01,2012-07-01,1,200000,analytics,operating,0,0,0,0,0,0,0,0,0,1,16,16,Failure
Shoptiques,NY,New York,2011-01-01,2012-03-21,2012-10-04,2,2000000,fashion,operating,0,0,0,0,0,0,0,0,0,1,14,21,Failure
Shortlist,IL,Chicago,2011-08-31,2011-12-01,2011-12-01,1,310000,web,operating,0,1,0,0,0,0,0,0,0,0,4,4,Failure
ShoutEm,NY,Zagreb,2008-08-01,2009-02-01,2010-08-01,2,1648560,mobile,operating,0,0,1,0,0,0,0,0,0,0,6,24,Failure
ShoutNow,KS,Lenexa,2008-12-12,2009-08-15,2009-08-15,1,20000,web,operating,0,1,0,0,0,0,0,0,0,0,8,8,Failure
Shoutlet,WI,Madison,2010-01-01,2010-01-19,2012-06-07,3,24200000,enterprise,operating,0,0,0,1,0,0,0,0,0,0,0,29,Success
ShowClix,PA,Pittsburgh,2007-03-01,2007-10-01,2013-09-16,7,4282799,web,operating,0,1,0,0,0,0,0,0,0,0,7,78,Failure
ShowKit,CA,West Hollywood,2012-06-01,2012-08-15,2013-08-28,2,710000,mobile,operating,0,0,1,0,0,0,0,0,0,0,2,14,Failure
ShowMe,NY,New York,2009-08-01,2010-04-01,2011-08-16,3,840000,education,operating,0,0,0,0,0,0,0,0,0,1,8,24,Failure
Showkicker,OR,Portland,2011-01-01,2012-03-01,2012-03-01,1,25000,web,operating,0,1,0,0,0,0,0,0,0,0,14,14,Failure
Si2 Microsystems,CA,San Jose,2006-01-01,2009-02-04,2009-02-04,1,12700000,semiconductor,operating,0,0,0,0,0,0,0,0,0,1,37,37,Success
SiBEAM,CA,Sunnyvale,2004-12-01,2004-12-01,2010-03-09,6,113750000,mobile,acquired,0,0,1,0,0,0,0,0,0,0,0,63,Success
SiO2 Nanotech,AZ,Tempe,2010-03-01,2012-11-21,2012-11-21,1,25000,nanotech,operating,0,0,0,0,0,0,0,0,0,1,32,32,Failure
SiOnyx,MA,Beverly,2006-01-01,2006-06-23,2012-04-11,3,20150000,semiconductor,operating,0,0,0,0,0,0,0,0,0,1,5,75,Success
SiSense,CA,Redwood Shores,2010-09-22,2013-04-03,2013-04-03,1,10000000,analytics,operating,0,0,0,0,0,0,0,0,0,1,31,31,Success
Siasto,CA,San Francisco,2012-01-01,2013-08-09,2013-08-09,1,750000,enterprise,operating,0,0,0,1,0,0,0,0,0,0,19,19,Failure
Side.Cr,CA,San Francisco,2012-02-01,2011-12-01,2012-10-10,2,10000000,mobile,operating,0,0,1,0,0,0,0,0,0,0,2,8,Success
SideStep,CA,Santa Clara,1999-11-01,1999-12-01,2007-02-01,4,32000000,web,acquired,0,1,0,0,0,0,0,0,0,0,1,87,Success
SideTour,NY,New York,2011-06-01,2011-07-01,2013-03-25,3,4000000,web,acquired,0,1,0,0,0,0,0,0,0,0,1,21,Success
Sidecar.me,CA,San Francisco,2010-05-01,2010-01-01,2011-02-28,2,5100000,network_hosting,closed,0,0,0,0,0,0,0,0,0,1,4,9,Failure
Sientra,CA,Santa Barbara,2007-01-01,2007-04-18,2012-03-28,2,150000000,medical,operating,0,0,0,0,0,0,0,0,0,1,3,62,Success
Sierra Design Automation,CA,Santa Clara,2003-01-01,2006-05-15,2006-05-15,1,14000000,semiconductor,operating,0,0,0,0,0,0,0,0,0,1,40,40,Success
Sierra Monolithics,CA,Redondo Beach,1986-01-01,2000-08-28,2002-04-24,2,25200000,public_relations,acquired,0,0,0,0,0,0,0,0,0,1,175,195,Success
Sift Science,CA,San Francisco,2011-06-01,2011-09-01,2012-11-03,2,5600000,security,operating,0,0,0,0,0,0,0,0,0,1,3,17,Failure
Sifteo,CA,San Francisco,2009-01-01,2009-07-01,2010-09-01,3,13500000,hardware,operating,0,0,0,0,0,0,0,0,0,1,6,20,Success
SigFig,CA,San Francisco,2011-01-01,2013-07-02,2013-07-02,1,15000000,finance,operating,0,0,0,0,0,0,0,0,0,1,30,30,Success
Sightly,CA,Temecula,2006-01-01,2012-12-20,2012-12-20,1,5600000,advertising,operating,0,0,0,0,1,0,0,0,0,0,83,83,Failure
SignNow,CA,Newport Beach,2010-02-01,2011-03-14,2012-03-06,2,2500000,web,acquired,0,1,0,0,0,0,0,0,0,0,13,25,Success
SignTrak,OH,Cincinnati,2004-01-01,2008-12-23,2011-11-09,2,502500,software,operating,1,0,0,0,0,0,0,0,0,0,59,94,Failure
SignalDemand,CA,San Francisco,2004-01-01,2007-07-29,2008-04-01,2,30000000,software,operating,1,0,0,0,0,0,0,0,0,0,42,51,Success
Signature,CA,San Francisco,2010-11-01,2011-05-01,2011-05-01,1,1100000,mobile,operating,0,0,1,0,0,0,0,0,0,0,6,6,Failure
Signiant,MA,Burlington,2000-01-01,2006-09-13,2006-09-13,1,10000000,software,operating,1,0,0,0,0,0,0,0,0,0,80,80,Success
Signifyd,CA,Palo Alto,2011-06-01,2012-12-19,2012-12-19,1,2000000,software,operating,1,0,0,0,0,0,0,0,0,0,18,18,Failure
Signostics,CA,Palo Alto,2005-01-01,2009-09-15,2010-04-07,2,9000000,biotech,operating,0,0,0,0,0,0,0,1,0,0,56,63,Success
Signpost,NY,New York,2009-07-23,2010-10-25,2012-05-01,2,5000000,advertising,operating,0,0,0,0,1,0,0,0,0,0,15,34,Failure
Siimpel Corporation,CA,Arcadia,2000-01-01,2005-11-11,2009-12-16,6,53818873,hardware,acquired,0,0,0,0,0,0,0,0,0,1,70,119,Success
Silatronix,WI,Madison,2007-01-01,2008-05-13,2008-05-13,1,500000,cleantech,operating,0,0,0,0,0,0,0,0,0,1,16,16,Failure
Silego Technology,CA,Santa Clara,2001-10-01,2001-11-15,2010-06-22,4,5750000,semiconductor,operating,0,0,0,0,0,0,0,0,0,1,1,104,Failure
Silicon Clocks,CA,Fremont,2004-01-01,2006-06-02,2009-06-08,3,26100000,semiconductor,acquired,0,0,0,0,0,0,0,0,0,1,29,65,Success
Silicon Genesis,CA,San Jose,1997-01-01,2007-08-08,2007-08-08,1,23000000,hardware,operating,0,0,0,0,0,0,0,0,0,1,127,127,Success
Silicor Materials,CA,San Jose,2006-03-01,2006-06-01,2013-09-04,6,195800000,manufacturing,operating,0,0,0,0,0,0,0,0,0,1,3,90,Success
Silk Road Medical,CA,Palo Alto,2007-01-01,2007-05-07,2013-05-08,3,62851589,medical,operating,0,0,0,0,0,0,0,0,0,1,4,76,Success
SilkRoad Technology,IL,Chicago,2003-01-01,2003-01-01,2013-08-12,6,178000000,software,operating,1,0,0,0,0,0,0,0,0,0,0,127,Success
Silver Creek Systems,CO,Westminster,1997-01-01,2005-08-01,2005-08-01,1,6000000,software,acquired,1,0,0,0,0,0,0,0,0,0,103,103,Success
Silver Peak Systems,CA,Santa Clara,2004-01-01,2005-09-19,2013-01-15,7,57130717,software,operating,1,0,0,0,0,0,0,0,0,0,20,108,Success
Silver Spring Networks,CA,Redwood City,2002-01-01,2007-04-04,2013-03-27,9,283929977,network_hosting,ipo,0,0,0,0,0,0,0,0,0,1,63,134,Success
Silver Tail Systems,CA,Menlo Park,2008-01-08,2008-09-26,2011-09-22,3,22100000,analytics,acquired,0,0,0,0,0,0,0,0,0,1,8,44,Success
SilverBack Technologies,MA,Billerica,1999-01-01,2006-01-01,2006-01-01,1,3500000,software,acquired,1,0,0,0,0,0,0,0,0,0,84,84,Success
SilverCloud Health,NY,"New York,",2011-01-01,2013-06-27,2013-06-27,1,1929900,enterprise,operating,0,0,0,1,0,0,0,0,0,0,29,29,Failure
SilverStorm Technologies,PA,King of Prussia,2000-01-01,2006-01-10,2006-01-10,1,13000000,public_relations,operating,0,0,0,0,0,0,0,0,0,1,72,72,Success
Silverback Systems,CA,Campbell,2000-01-01,2006-04-25,2006-04-25,1,16000000,semiconductor,operating,0,0,0,0,0,0,0,0,0,1,75,75,Success
Silverlink Communications,MA,Burlington,2001-01-01,2004-05-19,2012-01-31,2,7600000,software,operating,1,0,0,0,0,0,0,0,0,0,40,132,Success
Silverpop,GA,Atlanta,1999-11-01,2008-04-24,2013-04-24,2,40000000,advertising,operating,0,0,0,0,1,0,0,0,0,0,101,161,Success
Sim Ops Studios,PA,Pittsburgh,2006-01-01,2010-02-10,2010-02-10,1,698866,web,closed,0,1,0,0,0,0,0,0,0,0,49,49,Failure
Simpirica Spine,CA,San Carlos,2006-01-01,2011-09-20,2011-09-20,1,22000000,medical,operating,0,0,0,0,0,0,0,0,0,1,68,68,Success
Simple Energy,CO,Boulder,2011-01-24,2011-08-01,2013-02-19,4,4932995,analytics,operating,0,0,0,0,0,0,0,0,0,1,7,25,Failure
Simple Finance Technology Corp,OR,Portland,2009-01-01,2009-11-01,2013-06-11,4,15290000,enterprise,operating,0,0,0,1,0,0,0,0,0,0,10,53,Success
Simple Star,CA,San Francisco,2001-01-01,2003-08-01,2005-08-10,2,7100000,web,acquired,0,1,0,0,0,0,0,0,0,0,31,55,Success
Simple.TV,CA,San Anselmo,2011-05-10,2013-04-02,2013-04-02,1,5700000,hardware,operating,0,0,0,0,0,0,0,0,0,1,23,23,Failure
SimpleGeo,CA,San Francisco,2009-05-01,2009-11-10,2010-05-18,3,9807367,advertising,acquired,0,0,0,0,1,0,0,0,0,0,6,12,Success
"SimplePons, Inc.",FL,Delray Beach,2011-02-01,2011-11-01,2011-11-01,1,1000000,web,ipo,0,1,0,0,0,0,0,0,0,0,9,9,Success
SimpleRegistry,OH,Cincinnati,2011-01-01,2012-03-23,2012-03-23,1,300000,web,operating,0,1,0,0,0,0,0,0,0,0,14,14,Failure
SimpleRelevance,IL,Chicago,2012-01-07,2012-03-01,2013-05-28,3,1268000,software,operating,1,0,0,0,0,0,0,0,0,0,2,16,Failure
SimpleTuition,MA,Boston,2005-01-01,2006-04-14,2013-05-16,6,30952000,finance,operating,0,0,0,0,0,0,0,0,0,1,15,100,Success
Simplee,CA,Palo Alto,2010-01-01,2011-04-01,2013-09-24,3,17800000,medical,operating,0,0,0,0,0,0,0,0,0,1,15,44,Success
Simpli.fi,TX,Fort Worth,2010-01-01,2011-03-17,2012-01-30,2,2903271,advertising,operating,0,0,0,0,1,0,0,0,0,0,14,24,Failure
SimpliVity,MA,Westborough,2009-01-01,2012-01-01,2012-09-28,3,43500000,network_hosting,operating,0,0,0,0,0,0,0,0,0,1,36,44,Success
Simplilearn,TX,Houston,2009-01-01,2013-09-17,2013-09-17,1,10000000,web,operating,0,1,0,0,0,0,0,0,0,0,56,56,Success
Simply Hired,CA,Sunnyvale,2004-03-01,2004-01-01,2009-08-01,4,22300000,search,operating,0,0,0,0,0,0,0,0,0,1,2,65,Success
Simply Measured,WA,Seattle,2010-01-01,2010-01-01,2013-01-22,3,8750000,analytics,operating,0,0,0,0,0,0,0,0,0,1,0,36,Success
SimulScribe,NY,New York,2003-03-18,2004-01-01,2007-12-01,3,5700000,web,operating,0,1,0,0,0,0,0,0,0,0,10,57,Failure
Simulmedia,NY,New York,2009-01-01,2009-03-06,2013-02-11,4,23000000,advertising,operating,0,0,0,0,1,0,0,0,0,0,2,49,Success
Sincerely,CA,San Francisco,2011-01-01,2011-10-26,2011-10-26,1,3000000,social,operating,0,0,0,0,0,0,0,0,0,1,9,9,Failure
SingWho,NY,New York,2012-01-01,2013-03-25,2013-03-25,1,300000,music,operating,0,0,0,0,0,0,0,0,0,1,14,14,Failure
SingleHop,IL,Chicago,2006-01-01,2012-04-25,2012-04-25,1,27500000,network_hosting,operating,0,0,0,0,0,0,0,0,0,1,75,75,Success
SinglePlatform,NY,New York,2010-01-01,2010-09-29,2011-08-01,2,4450000,web,acquired,0,1,0,0,0,0,0,0,0,0,8,19,Success
Singly,CA,San Francisco,2010-12-21,2011-02-01,2012-04-23,2,8950000,analytics,acquired,0,0,0,0,0,0,0,0,0,1,2,16,Success
Singulex,CA,Alameda,2003-01-01,2006-07-17,2013-09-26,6,117685540,biotech,operating,0,0,0,0,0,0,0,1,0,0,42,128,Success
Sionex,MA,Bedford,2001-01-01,2005-12-07,2005-12-07,1,12000000,hardware,operating,0,0,0,0,0,0,0,0,0,1,59,59,Success
Sipera Systems,TX,Richardson,2003-01-01,2005-02-04,2010-05-18,4,39730000,security,operating,0,0,0,0,0,0,0,0,0,1,25,88,Success
Siperian,CA,Foster City,2000-01-01,2008-01-01,2008-01-01,1,25000000,software,acquired,1,0,0,0,0,0,0,0,0,0,96,96,Success
Siri,CA,San Jose,2007-12-01,2008-10-13,2009-11-24,2,24000000,software,acquired,1,0,0,0,0,0,0,0,0,0,10,23,Success
Sirific Wireless,TX,Richardson,2000-01-01,2007-02-12,2007-02-12,1,18800000,semiconductor,acquired,0,0,0,0,0,0,0,0,0,1,85,85,Success
Sirtris Pharmaceuticals,MA,Cambridge,2004-01-01,2004-01-01,2006-04-19,4,82000000,biotech,acquired,0,0,0,0,0,0,0,1,0,0,0,27,Success
Site9,OR,Portland,1998-01-01,2006-07-25,2012-11-15,4,1650000,software,operating,1,0,0,0,0,0,0,0,0,0,102,178,Failure
SiteBrains,CA,San Francisco,2010-08-01,2010-08-01,2010-08-01,1,350000,software,operating,1,0,0,0,0,0,0,0,0,0,0,0,Failure
SiteWit,FL,Tampa,2011-01-01,2007-03-01,2013-06-16,2,2325000,search,operating,0,0,0,0,0,0,0,0,0,1,46,29,Failure
Siterra,CA,San Francisco,2001-01-01,2005-10-25,2005-10-25,1,7000000,software,operating,1,0,0,0,0,0,0,0,0,0,57,57,Failure
Sitesimon,NY,New York,2010-04-01,2011-06-06,2011-06-06,1,25000,web,operating,0,1,0,0,0,0,0,0,0,0,14,14,Failure
Sittercity,IL,Chicago,2001-01-01,2009-01-30,2011-04-27,3,30600000,web,operating,0,1,0,0,0,0,0,0,0,0,96,123,Success
Six Degrees Games,CA,Marina del Rey,2006-01-01,2008-07-29,2009-11-10,2,14000000,games_video,operating,0,0,0,0,0,1,0,0,0,0,30,46,Success
Sketchfab,NY,New York,2012-05-15,2013-01-29,2013-04-02,2,618000,software,operating,1,0,0,0,0,0,0,0,0,0,8,11,Failure
Skift,NY,New York,2012-01-30,2013-05-15,2013-08-16,2,1100000,news,operating,0,0,0,0,0,0,0,0,0,1,16,19,Failure
Skill-Life,PA,Pittsburgh,2007-01-01,2008-06-01,2008-06-01,1,25000,games_video,operating,0,0,0,0,0,1,0,0,0,0,17,17,Failure
SkillHound,MA,Boston,2011-11-30,2013-02-28,2013-02-28,1,20000,other,operating,0,0,0,0,0,0,0,0,0,1,15,15,Failure
SkillSlate,NY,New York,2009-01-01,2010-10-20,2010-10-20,1,1100000,web,acquired,0,1,0,0,0,0,0,0,0,0,21,21,Success
SkillSurvey,PA,Wayne,2002-01-01,2008-05-05,2008-05-05,1,1800000,software,operating,1,0,0,0,0,0,0,0,0,0,76,76,Failure
